The English (United States) version of this software update installs files that have the attributes that are listed in the following tables.,,,,,,,
,,,,,,,
Windows 8.1 and Windows Server 2012 R2,,,,,,,
Notes,,,,,,,
The MANIFEST files (.manifest) and MUM files (.mum) that are installed are not listed.,,,,,,,
,,,,,,,
Internet Explorer 11,,,,,,,
Internet Explorer 11 on all supported x86-based versions of Windows 8.1 and Windows Server 2012 R2,,,,,,,
File name,File version,File size,Date,Time,Platform,SP requirement,Service branch
Inetcpl.cpl.mui,11.0.9600.18666,"74,752",16-Apr-17,9:49,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"76,288",16-Apr-17,9:50,Not applicable,None,Not applicable
Inetcpl.cpl.mui,11.0.9600.18666,"76,288",16-Apr-17,9:50,Not applicable,None,Not applicable
Ieui.dll,11.0.9600.18124,"476,160",10-Nov-15,0:04,x86,None,Not applicable
Iedkcs32.dll,18.0.9600.18666,"330,752",16-Apr-17,7:10,x86,None,Not applicable
Install.ins,Not applicable,464,16-Apr-17,4:37,Not applicable,None,Not applicable
Ieapfltr.dat,10.0.9301.0,"616,104",24-Sep-13,2:20,Not applicable,None,Not applicable
Ieapfltr.dll,11.0.9600.18666,"710,144",16-Apr-17,6:34,x86,None,Not applicable
Iepeers.dll,11.0.9600.18666,"128,000",16-Apr-17,7:23,x86,None,Not applicable
Licmgr10.dll,11.0.9600.17416,"27,136",31-Oct-14,3:03,x86,None,Not applicable
Tdc.ocx,11.0.9600.18666,"73,216",16-Apr-17,7:29,x86,None,Not applicable
Diagnosticshub.datawarehouse.dll,11.0.9600.17416,"489,472",31-Oct-14,3:27,x86,None,Not applicable
Iedvtool.dll,11.0.9600.18666,"772,608",16-Apr-17,7:52,x86,None,Not applicable
Diagnosticshub_is.dll,11.0.9600.17416,"37,888",31-Oct-14,3:29,x86,None,Not applicable
Dxtmsft.dll,11.0.9600.18052,"416,256",10-Sep-15,16:17,x86,None,Not applicable
Dxtrans.dll,11.0.9600.18666,"279,040",16-Apr-17,7:22,x86,None,Not applicable
Microsoft-windows-ie-f12-provider.ptxml,Not applicable,"11,892",15-Aug-14,22:51,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:34,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:35,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:36,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:33,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:34,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:33,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,2:47,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:32,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:32,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:26,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:27,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:27,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:27,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:26,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"3,584",16-Aug-14,8:30,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"3,584",16-Aug-14,8:30,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:29,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:29,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:30,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:30,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:30,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:30,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:31,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:30,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:37,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:37,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:38,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.18666,"4,096",16-Apr-17,9:44,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:37,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:39,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:37,Not applicable,None,Not applicable
F12.dll.mui,11.0.9600.17278,"4,096",16-Aug-14,8:37,Not applicable,None,Not applicable
